epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
80,5710.64,0.04753,0.99529,1,0.01604,0.002179,0.002179,0.002179
81,5772.11,0.04759,0.99529,1,0.01246,0.00208,0.00208,0.00208
82,5832.31,0.04447,0.99529,1,0.01253,0.001981,0.001981,0.001981
83,5893.98,0.04608,1,1,0.00428,0.001882,0.001882,0.001882
84,5954.25,0.04004,0.99765,1,0.00568,0.001783,0.001783,0.001783
85,6014.25,0.03803,0.99294,1,0.01448,0.001684,0.001684,0.001684
86,6076.64,0.0322,0.99529,1,0.01434,0.001585,0.001585,0.001585
87,6137.95,0.02975,0.99529,1,0.01208,0.001486,0.001486,0.001486
88,6200.71,0.04342,0.99529,1,0.01371,0.001387,0.001387,0.001387
89,6261.93,0.03522,0.99529,1,0.0181,0.001288,0.001288,0.001288
90,6325.04,0.03211,0.99529,1,0.02502,0.001189,0.001189,0.001189
91,6388.66,0.03069,0.99529,1,0.0214,0.00109,0.00109,0.00109
92,6451.16,0.02617,0.99529,1,0.01778,0.000991,0.000991,0.000991
93,6511.26,0.01991,0.99294,1,0.02015,0.000892,0.000892,0.000892
94,6571.7,0.02327,0.99529,1,0.02136,0.000793,0.000793,0.000793
95,6632.63,0.02874,0.99529,1,0.01952,0.000694,0.000694,0.000694
96,6692.87,0.01983,0.99529,1,0.02055,0.000595,0.000595,0.000595
97,6753.8,0.02187,0.99529,1,0.01881,0.000496,0.000496,0.000496
98,6812.89,0.02137,0.99529,1,0.01635,0.000397,0.000397,0.000397
99,6871.84,0.03141,0.99765,1,0.01364,0.000298,0.000298,0.000298
100,6930.19,0.02269,0.99765,1,0.01292,0.000199,0.000199,0.000199
